CH1,CH2,CH3,CH4,CH5,Command
71.126,2.156,2.372,5.414,14.594,2
146.049,12.228,12.906,29.814,28.447,2
134.868,83.661,80.923,115.077,72.339,2
138.346,128.195,122.112,136.093,109.434,2
64.419,61.551,54.934,50.23,47.93,2
14.508,19.841,9.704,14.555,12.039,2
15.087,18.166,10.407,15.193,12.641,2
22.32,9.712,8.126,13.807,10.705,2
74.667,6.164,4.388,8.151,14.523,2
66.801,6.471,7.135,10.639,17.576,2
33.124,8.966,12.701,16.412,25.786,1
92.078,8.157,9.548,15.365,49.841,3
148.787,6.391,9.409,9.343,72.625,3
64.565,7.606,7.364,5.269,31.339,3
220.064,6.63,7.393,10.449,65.425,3
291.26,5.338,11.267,12.978,88.693,3
42.862,2.97,9.721,6.842,20.782,3
3.277,2.474,5.561,5.13,5.068,3
3.817,3.362,4.316,4.613,5.365,3
6.509,3.257,3.264,3.724,6.762,3
8.098,3.233,2.817,5.082,11.054,3
5.575,1.586,1.818,11.282,11.296,3
4.611,0.753,1.335,9.738,8.154,3
5.511,0.86,1.001,3.333,7.797,3
24.154,4.056,3.205,2.339,12.631,3
83.745,16.396,25.135,13.021,36.725,3
65.972,21.77,34.335,25.28,35.566,3
32.113,15.047,17.371,17.372,21.51,3
15.721,5.806,3.841,3.766,11.036,3
70.791,2.931,4.645,2.336,18.357,3
114.063,5.037,6.482,4.759,28.809,3
170.686,4.209,5.648,5.732,46.327,3
235.59,2.419,5.708,3.98,65.819,3
67.085,4.897,7.193,4.963,26.728,3
23.071,8.845,7.508,6.988,17.463,1
15.227,6.813,5.088,6.358,12.394,2
7.882,2.539,3.361,3.49,7.259,2
17.5,1.144,3.326,0.929,10.65,1
44.923,0.893,4.147,0.872,10.897,1
53.687,2.202,7.695,2.629,9.725,3
33.751,7.999,11.893,6.329,13.181,3
65.219,17.337,22.883,7.525,31.866,3
143.857,35.834,34.435,9.169,77.352,3
244.184,43.757,34.026,10.25,118.306,3
174.58,26.886,21.337,13.013,79.392,3
125.059,97.068,102.724,102.268,108.661,3
118.191,99.805,107.751,111.689,109.32,3
30.118,23.221,27.033,29.781,29.03,3
3.789,2.251,4.453,7.499,4.856,3
5.701,3.702,5.872,16.671,9.126,1
6.796,2.842,6.441,10.512,9.38,2
6.773,1.626,8.038,5.602,5.872,2
9.901,1.876,7.387,3.719,4.115,2
14.031,2.317,3.195,4.428,6.556,2
8.074,5.219,2.901,6.736,8.111,2
5.459,11.978,2.7,8.3,9.017,2
5.687,13.805,2.059,6.955,7.112,2
6.381,8.652,5.701,6.625,3.667,2
5.93,4.224,5.251,4.63,4.274,2
6.527,2.508,7.902,3.55,4.899,2
32.415,5.105,15.757,3.063,10.787,2
94.074,5.904,12.385,5.582,27.91,2
103.09,8.332,10.302,13.23,33.219,1
114.332,11.909,10.477,11.21,35.695,1
52.908,10.264,10.053,7.196,18.807,1
7.211,11.708,13.096,11.32,4.106,1
4.184,13.199,27.472,7.6,3.533,1
2.077,8.31,35.738,4.144,3.11,3
1.783,2.943,14.613,1.933,1.351,3
19.906,1.855,1.305,0.671,8.783,1
42.727,2.632,1.164,1.192,16.524,1
22.422,1.947,1.069,2.214,8.834,1
2.84,0.973,1.496,2.502,3.054,1
4.123,2.569,3.041,3.059,4.484,1
4.61,3.154,3.146,2.842,7.245,1
2.832,2.878,2.326,2.101,11.032,1
2.932,3.232,3.287,3.535,9.861,1
9.675,8.986,9.135,12.225,9.359,1
7.056,6.532,5.164,7.613,6.483,1
3.05,2.82,1.796,3.859,6.137,1
6.749,6.437,5.983,7.68,9.592,1
35.347,36.335,28.99,33.835,38.289,1
63.319,72.386,47.19,65.209,66.281,1
45.243,53.486,32.853,48.294,44.391,1
10.061,14.799,10.432,11.763,9.007,1
1.822,3.285,3.886,2.52,3.896,3
2.859,3.144,3.185,2.64,4.706,3
3.455,3.876,4.326,2.801,3.407,3
2.177,2.356,4.621,2.556,2.197,3
2.645,0.999,1.85,3.395,3.046,3
3.03,1.306,2.984,5.181,3.924,3
8.424,4.854,8.349,10.57,9.105,3
20.141,14.916,11.242,16.194,14.75,1
23.147,16.017,10.464,11.82,12.337,2
11.533,8.335,10.658,7.034,5.891,1
