Theta_AF3,Theta_T7,Theta_PZ,Theta_T8,Theta_AF4,Alpha_AF3,Alpha_T7,Alpha_PZ,Alpha_T8,Alpha_AF4,BetaL_AF3,BetaL_T7,BetaL_PZ,BetaL_T8,BetaL_AF4,BetaH_AF3,BetaH_T7,BetaH_PZ,BetaH_T8,BetaH_AF4,Gamma_AF3,Gamma_T7,Gamma_PZ,Gamma_T8,Gamma_AF4,Command
2.211,1.454,3.542,1.112,2.78,2.275,1.24,4.295,3.443,3.073,1.679,1.447,1.665,1.928,2.306,1.246,0.586,0.51,0.543,1.113,0.536,0.612,0.636,0.707,0.682,1
2.778,1.641,3.208,1.044,3.557,2.27,1.383,3.107,2.791,3.393,1.343,1.356,1.396,1.155,2.173,1.263,0.699,0.637,0.545,0.976,0.394,0.516,0.605,0.737,0.607,1
13.462,1.656,2.724,1.513,10.198,3.391,1.833,2.48,2.344,6.153,0.913,1.536,1.598,0.858,2.328,1.439,0.773,0.736,0.775,1.273,0.378,0.437,0.529,0.865,0.553,1
25.836,1.669,2.479,1.85,17.777,4.718,2.051,2.211,2.379,8.583,0.87,1.582,1.595,0.853,2.627,1.574,0.766,0.736,0.883,1.487,0.407,0.44,0.499,0.917,0.542,1
54.483,1.744,2.091,2.461,35.683,7.824,2.149,1.662,2.853,12.528,1.105,1.341,1.366,0.969,3.323,1.721,0.718,0.666,0.887,1.665,0.479,0.53,0.462,0.885,0.578,1
62.028,1.798,1.995,2.616,40.767,8.704,2.02,1.476,3.07,12.71,1.308,1.128,1.225,1.079,3.596,1.672,0.713,0.64,0.801,1.571,0.516,0.594,0.444,0.8,0.627,1
51.146,1.863,2.58,2.52,34.708,7.701,1.678,1.434,3.012,9.057,1.787,0.869,1.059,1.496,3.889,1.426,0.759,0.675,0.734,1.211,0.607,0.702,0.41,0.594,0.742,1
21.895,1.774,4.44,2.278,16.101,4.585,1.522,1.743,2.506,4.035,2.243,0.918,1.118,2.152,3.727,1.334,0.816,0.882,1.348,1.225,0.918,0.726,0.493,0.539,0.995,1
10.781,1.75,5.415,2.108,8.559,3.387,1.557,2.022,2.34,2.665,2.4,1.001,1.2,2.491,3.559,1.404,0.854,1.056,2.033,1.501,1.443,0.725,0.672,0.636,1.415,1
3.022,2.012,5.859,1.486,2.283,2.602,1.808,2.806,2.325,2.701,2.51,1.355,1.429,3.044,3.122,1.657,1.065,1.447,3.626,2.193,3.564,0.798,1.315,1.017,3.112,0
5.486,3.08,4.904,0.931,2.066,2.545,2.184,3.33,2.279,4.235,2.474,2.076,1.752,3.183,2.643,1.793,1.483,1.636,4.185,2.284,5.677,0.927,1.852,1.34,4.729,0
7.956,3.809,4.527,0.932,2.799,2.385,2.294,3.27,2.127,4.838,2.478,2.465,1.905,3.039,2.528,1.743,1.671,1.574,3.853,2.028,5.905,0.945,1.869,1.388,4.831,0
11.981,4.711,4.456,1.762,5.395,2.17,2.21,2.593,1.843,5.506,2.504,2.821,2.065,2.457,2.65,1.423,1.745,1.189,2.615,1.337,4.311,0.855,1.372,1.275,3.388,1
12.31,4.638,4.608,2.401,6.898,2.408,2.073,2.163,1.853,5.945,2.548,2.678,2.078,2.203,2.847,1.251,1.609,0.949,2.088,1.098,3.012,0.791,1.024,1.179,2.316,1
10.419,3.782,4.672,3.468,10.06,3.96,1.824,1.56,2.179,7.38,2.943,2.028,2.065,2.093,3.224,1.158,1.182,0.57,1.615,1.002,1.112,0.737,0.593,1.035,0.877,1
12.193,3.147,4.066,4.125,13.671,6.611,1.858,1.24,2.372,8.448,4.222,1.775,1.941,2.256,3.2,1.604,0.841,0.411,1.525,1.268,0.729,0.775,0.617,0.959,0.766,1
15.878,3.065,3.49,4.241,15.739,7.856,2.023,1.069,2.253,8.303,5.152,1.967,1.781,2.276,3.233,1.946,0.764,0.42,1.48,1.489,0.814,0.789,0.696,0.94,0.961,1
23.718,4.286,2.143,4.188,18.617,8.714,3.335,0.737,1.617,6.654,6.463,3.536,1.334,2.258,4.104,2.463,0.871,0.603,1.42,2.059,1.153,0.832,0.822,1.042,1.472,1
25.208,6.837,1.525,4.15,18.448,8.077,5.035,0.622,1.236,5.607,6.354,5.213,1.147,2.306,4.806,2.575,1.174,0.759,1.459,2.378,1.419,0.929,0.849,1.31,1.746,1
21.416,16.813,0.742,4.658,14.31,5.505,10.323,0.505,0.78,4.061,4.482,9.735,0.984,2.495,5.722,2.593,2.315,1.046,1.802,2.884,2.063,1.312,0.901,2.54,2.23,1
17.369,26.001,0.57,5.692,8.358,3.388,13.882,0.525,1.126,3.391,2.144,12.388,0.953,2.486,5.204,2.477,3.31,1.048,2.328,2.811,2.436,1.615,1.049,4.042,2.403,1
19.341,26.624,0.609,6.03,6.428,3.113,13.51,0.618,1.628,3.441,1.493,11.908,0.978,2.326,4.648,2.407,3.358,0.936,2.469,2.515,2.385,1.591,1.132,4.482,2.318,1
29.718,18.996,0.88,6.372,6.408,3.768,9.02,1.031,3.489,4.764,1.328,8.031,1.329,1.974,4.078,2.196,2.547,0.708,2.37,1.773,1.885,1.208,1.166,4.39,1.927,1
37.692,8.912,1.203,7.275,12.97,4.249,4.103,1.66,6.325,7.03,1.618,4.021,2.094,2.103,4.859,1.924,1.529,0.757,2.352,1.491,1.33,0.789,0.945,3.661,1.563,1
37.246,6.27,1.287,7.844,18.13,4.549,2.744,1.981,7.472,7.71,1.846,2.949,2.444,2.347,5.514,1.893,1.255,0.893,2.541,1.589,1.176,0.681,0.797,3.438,1.48,1
33.126,5.372,1.377,8.447,28.591,5.99,1.819,2.525,7.781,7.291,3.05,2.289,2.657,2.884,6.508,2.149,1.104,1.225,2.976,1.926,1.142,0.621,0.69,3.852,1.601,1
31.803,5.716,1.415,8.613,31.363,7.058,1.716,2.688,7.087,6.54,4.028,2.214,2.543,3.088,6.572,2.32,1.083,1.359,3.009,2.04,1.218,0.617,0.823,4.59,1.815,1
