Theta_AF3,Theta_T7,Theta_PZ,Theta_T8,Theta_AF4,Alpha_AF3,Alpha_T7,Alpha_PZ,Alpha_T8,Alpha_AF4,BetaL_AF3,BetaL_T7,BetaL_PZ,BetaL_T8,BetaL_AF4,BetaH_AF3,BetaH_T7,BetaH_PZ,BetaH_T8,BetaH_AF4,Gamma_AF3,Gamma_T7,Gamma_PZ,Gamma_T8,Gamma_AF4,Command
4.287,3.96,1.899,3.268,6.688,5.551,1.873,3.008,2.9,5.623,2.504,0.928,2.011,2.491,2.038,3.813,0.833,2.057,7.416,3.519,1.656,1.255,1.985,10.557,3.758,2
5.225,3.565,1.858,3.633,7.978,5.348,1.56,2.906,2.609,4.883,3.347,1.136,1.951,2.398,2.717,3.787,0.782,2.14,7.637,3.289,1.673,1.275,2.242,11.392,4.264,2
7.218,2.688,1.932,3.956,11.753,5.238,0.809,2.482,2.267,3.524,5.025,1.366,1.654,1.843,4.852,3.623,0.706,2.204,7.419,3.266,1.808,1.194,2.38,12.068,4.675,2
8.009,2.496,2.008,3.851,13.935,5.338,0.615,2.301,2.546,3.301,5.429,1.338,1.653,1.684,6.105,3.412,0.724,2.129,7.141,3.477,1.841,1.083,2.294,12.007,4.583,2
8.712,2.661,2.187,3.601,17.209,5.121,0.732,2.185,4.289,3.915,5.046,1.126,2.405,2.359,8.072,2.789,0.891,1.688,6.367,4.096,1.771,0.872,2.041,11.732,4.174,2
8.353,2.922,2.262,3.862,17.411,4.011,1.404,2.206,6.347,5.195,4.06,1.116,3.859,4.685,8.621,2.273,1.046,1.177,5.199,4.444,1.728,0.924,1.818,11.098,3.736,0
7.86,2.912,2.275,3.979,16.157,3.419,1.874,2.277,6.824,5.879,3.698,1.289,4.387,5.993,8.35,2.149,1.032,1.063,4.539,4.381,1.778,1.037,1.723,10.416,3.489,0
6.412,2.652,2.361,3.373,11.519,2.728,2.595,2.879,6.16,7.027,3.206,1.729,4.203,7.097,6.872,2.098,0.782,1.216,3.659,3.855,1.981,1.23,1.623,8.875,3.034,0
5.607,2.516,2.465,2.673,8.797,2.672,2.602,3.475,5.324,7.343,2.923,1.828,3.489,6.502,5.752,2.167,0.623,1.429,3.599,3.531,2.074,1.267,1.666,8.579,2.956,0
4.539,2.457,2.426,1.465,4.551,2.882,1.883,4.877,3.866,7.227,2.26,1.666,1.766,3.929,3.271,2.504,0.504,1.939,4.225,3.191,2.07,1.296,1.881,9.263,3.121,2
4.213,2.51,1.91,1.502,3.026,2.856,1.103,5.826,3.683,6.438,1.784,1.449,0.97,1.993,1.567,2.642,0.729,2.307,5.226,3.212,1.793,1.389,1.972,10.179,3.232,2
3.937,2.477,1.673,2.183,2.785,2.566,0.937,6.012,4.197,5.967,1.727,1.537,0.997,1.839,1.337,2.5,0.884,2.403,5.928,3.253,1.643,1.451,1.92,10.296,3.207,2
2.767,2.075,1.701,4.294,2.103,1.818,0.933,6.04,5.759,5.266,1.829,2.056,1.291,2.968,1.87,2.011,1.047,2.586,8.355,3.524,1.549,1.537,1.762,10.18,3.278,2
1.606,1.837,2.338,5.732,1.726,1.65,1.24,5.726,6.293,4.921,1.827,2.299,1.527,4.519,2.456,1.77,0.947,2.782,10.786,4.09,1.7,1.546,1.762,10.355,3.744,2
1.379,2.182,2.61,5.747,2.057,1.816,1.641,5.286,5.79,4.65,1.735,2.18,1.631,5.046,2.466,1.836,0.856,2.788,10.981,4.321,1.776,1.516,1.84,10.655,4.117,2
1.658,3.783,2.762,4.925,3.503,2.241,2.882,3.783,4.011,3.797,1.528,1.939,1.765,5.245,1.93,2.089,0.742,2.414,8.783,4.307,1.807,1.371,2.068,11.776,4.947,2
2.08,4.592,2.687,4.529,4.107,2.378,3.419,2.923,3.314,3.409,1.485,2.055,1.825,4.926,1.59,2.159,0.73,2.117,7.097,4.073,1.767,1.278,2.173,12.626,5.295,2
3.101,5.045,2.406,4.034,4.276,2.292,3.408,1.569,2.86,2.862,1.578,2.7,1.955,3.862,1.2,2.146,0.733,1.807,4.84,3.619,1.66,1.165,2.271,14.427,5.626,2
3.202,3.804,2.031,3.294,3.483,1.858,2.086,0.899,2.789,2.658,2.045,3.022,2.038,3.063,1.306,1.997,0.702,2.051,4.611,3.475,1.616,1.206,2.157,15.132,5.412,2
2.808,2.948,1.907,3.126,3.27,1.655,1.403,0.748,2.634,2.858,2.417,2.947,1.974,2.873,1.467,1.854,0.668,2.164,4.758,3.401,1.621,1.241,2.049,14.89,5.203,2
1.805,1.55,2.049,4.596,3.517,1.386,0.783,0.747,2.2,3.636,3.193,2.968,1.587,2.717,1.779,1.498,0.658,2.032,5.25,3.149,1.642,1.232,1.868,13.749,4.804,2
1.377,0.823,2.789,7.625,3.601,1.305,1.067,2.115,1.805,3.718,3.485,3.555,1.379,2.432,1.937,1.204,0.834,1.76,6.173,2.859,1.758,1.192,1.909,13.256,4.623,2
1.448,0.754,3.269,8.752,3.408,1.331,1.359,3.662,1.727,3.366,3.375,3.792,1.523,2.193,2.039,1.129,0.994,1.772,6.779,2.82,1.935,1.242,2.145,14.138,4.908,2
1.688,1.537,3.929,8.696,2.908,1.563,1.968,7.578,1.832,2.762,2.785,3.522,2.076,1.923,2.255,1.177,1.318,2.062,8.442,3.314,2.534,1.522,3.249,18.647,6.702,2
1.751,2.276,3.862,7.751,2.806,1.79,2.175,9.014,2.059,2.957,2.423,3.049,2.328,2.114,2.266,1.281,1.411,2.165,9.497,3.815,2.829,1.686,3.966,21.322,7.877,2
1.926,3.407,2.785,6.614,3.317,2.4,2.313,8.993,2.995,4.458,1.901,2.022,2.689,3.201,2.128,1.531,1.403,2.07,11.301,4.746,3.001,1.816,4.89,23.878,9.082,2
2.23,3.27,1.386,7.81,4.447,2.709,2.248,5.955,4.005,5.556,1.768,1.326,3.143,4.274,2.301,1.604,1.241,1.88,11.642,4.766,2.469,1.594,4.43,20.547,7.62,2
2.489,2.713,1.039,8.511,5.058,2.598,2.17,4.539,4.142,5.365,1.745,1.048,3.468,4.367,2.548,1.514,1.152,1.844,10.954,4.332,2.047,1.407,3.785,17.315,6.213,0
6.734,1.509,1.454,8.346,7.49,2.174,1.875,3.714,3.46,3.84,1.511,0.54,3.749,3.392,2.768,1.255,1.004,1.799,8.095,3.214,1.222,1.023,2.365,10.45,3.484,0
12.889,1.129,1.99,7.574,9.92,2.192,1.663,4.09,2.917,3.034,1.274,0.384,3.515,2.569,2.528,1.189,0.939,1.756,6.311,2.831,0.905,0.859,1.778,7.512,2.48,0
37.159,0.905,2.894,7.024,20.567,3.475,1.289,4.79,2.506,2.65,0.874,0.29,2.718,1.261,1.679,1.177,0.79,1.653,3.119,2.584,0.518,0.622,0.902,3.174,1.172,0
86.028,1.658,3.243,14.305,47.952,7.056,1.195,4.211,4.537,4.52,1.551,0.473,2.349,1.373,1.719,1.046,0.655,1.607,1.489,2.622,0.355,0.498,0.406,1.172,0.631,0
116.527,2.441,3.386,21.51,67.106,9.549,1.299,3.56,6.518,6.218,2.588,0.796,2.334,1.964,2.454,0.934,0.642,1.576,1.412,2.612,0.308,0.457,0.3,0.872,0.588,0
158.537,89.352,3.884,34.987,96.962,13.629,35.521,2.353,10.201,9.99,5.256,16.706,2.229,3.24,4.606,0.825,6.176,1.4,2.036,2.382,0.263,1.037,0.227,0.706,0.637,0
136.983,646.426,4.281,33.651,88.239,13.406,238.722,1.873,9.779,11.802,6.365,102.785,2.19,3.394,5.678,1.144,39.15,1.167,2.422,1.944,0.292,5.347,0.196,0.639,0.599,0
104.923,1100.835,4.322,26.901,69.875,11.593,399.441,1.932,7.845,11.311,5.821,169.104,2.357,2.988,5.459,1.449,65.34,1.096,2.326,1.735,0.323,8.998,0.185,0.638,0.526,0
37.517,1806.408,4.507,11.631,29.29,6.791,639.426,2.534,3.295,8.148,3.527,264.949,2.943,2.088,4.267,1.953,104.827,1.087,1.801,1.445,0.385,14.931,0.186,0.713,0.358,0
16.296,1818.001,4.92,7.218,16.087,4.843,637.707,2.932,1.805,6.346,2.537,262.162,3.169,1.892,3.75,2.015,104.808,1.137,1.557,1.382,0.406,15.221,0.202,0.77,0.307,0
2.717,1139.947,6.218,5.068,6.593,2.592,393.873,3.659,0.722,3.905,1.831,159.772,3.163,1.952,3.141,1.917,65.373,1.295,1.434,1.603,0.421,10.018,0.246,0.833,0.337,0
2.84,314.553,6.574,4.73,5.152,1.718,107.835,4.083,0.526,3.049,2.202,43.683,2.63,2.194,2.477,2.039,18.771,1.376,1.659,2.4,0.405,3.315,0.276,0.805,0.518,0
3.322,100.246,6.109,4.367,4.658,1.551,34.662,4.089,0.499,2.768,2.38,14.614,2.25,2.324,2.088,2.195,6.781,1.334,1.776,2.834,0.392,1.48,0.283,0.793,0.622,0
4.067,3.122,5.131,3.923,4.527,1.521,1.634,3.618,0.578,1.963,2.365,1.542,1.415,2.436,1.711,2.346,1.232,1.099,1.875,3.105,0.375,0.513,0.3,0.825,0.738,0
4.097,4.765,6.073,4.1,6.658,2.467,2.646,3.305,0.74,1.6,1.898,2.978,0.87,1.997,1.8,2.11,1.091,0.943,1.948,2.433,0.37,0.468,0.328,0.886,0.659,0
3.907,18.144,7.342,4.035,7.944,3.46,7.386,3.742,0.805,1.857,1.637,8.604,0.735,1.581,1.79,1.946,2.125,0.97,2.036,2.052,0.367,0.709,0.336,0.898,0.589,0
3.36,123.613,8.946,3.121,8.219,5.561,34.113,6.078,0.889,2.893,1.413,38.158,0.556,0.819,1.53,1.696,10.064,1.194,2.173,1.804,0.361,2.573,0.371,0.891,0.534,0
3.426,214.307,8.599,2.735,7.088,6.039,53.352,7.399,0.935,3.291,1.484,58.013,0.549,0.69,1.367,1.669,16.422,1.389,2.213,1.944,0.378,4.122,0.475,0.91,0.575,0
4.78,367.817,6.631,3.55,5.024,5.181,79.692,8.455,1.129,3.08,1.823,81.374,0.98,1.075,1.302,2.511,26.082,2.194,2.887,2.828,0.556,6.771,1.026,1.198,0.788,0
6.526,345.335,4.763,6.374,4.536,3.416,65.715,7.129,1.483,2.06,2.047,62.025,1.998,1.692,1.575,5.016,22.823,3.457,4.872,4.767,1.087,6.545,1.811,2.07,1.188,0
6.821,276.618,4.144,7.779,4.471,2.954,49.309,6.181,1.682,1.85,2.084,43.987,2.489,2.018,1.703,6.362,17.635,3.928,5.924,5.859,1.505,5.428,2.137,2.765,1.477,0
6.211,171.718,3.116,9.614,3.954,3.132,47.04,4.674,2.148,2.72,2.158,31.217,2.789,2.901,1.779,7.321,11.609,3.831,6.55,6.941,2.43,3.503,2.447,4.333,2.169,0
5.523,180.666,2.719,9.972,3.598,3.368,68.963,4.069,2.518,3.471,2.241,41.942,2.537,3.358,1.792,6.613,13.272,3.259,5.938,6.594,2.79,3.383,2.415,4.944,2.499,0
4.713,288.729,2.706,10.39,3.366,3.188,118.884,2.731,3.631,4.156,2.344,69.635,1.705,3.64,1.815,3.894,20.127,1.812,3.988,4.657,3.048,4.205,2.091,5.334,2.928,0
5.344,350.957,3.573,9.972,3.859,2.095,110.9,1.516,4.644,3.101,2.571,65.186,1.674,2.994,1.946,2.004,19.673,1.016,3.131,3.001,2.719,4.185,1.655,4.816,2.9,0
5.796,327.74,4.115,9.48,4.12,1.532,85.835,1.189,4.892,2.323,2.963,50.911,2.49,2.793,2.303,1.828,16.195,1.039,3.452,2.773,2.426,3.664,1.484,4.53,2.722,0
6.334,292.037,4.869,9.056,4.469,1.554,62.603,1.56,5.83,2.099,4.552,36.015,5.772,3.656,4.087,2.511,13.099,1.904,5.273,3.511,1.904,3.936,1.442,4.466,2.355,0
7.931,489.072,5.674,10.753,6.245,4.656,149.357,4.456,9.024,5.972,7.258,79.8,8.654,5.082,8.48,3.413,27.794,3.185,7.338,5.042,1.88,9.445,1.773,5.057,2.537,0
9.325,644.847,6.06,11.678,7.973,7.115,213.257,7.04,11.177,9.261,9.555,111.745,8.828,5.171,12.966,3.651,38.731,3.605,7.849,5.614,2.079,13.316,1.947,5.399,2.859,0
10.8,781.199,5.922,11.29,11.171,11.077,272.5,12.633,13.842,14.814,16.197,138.167,6.596,3.936,26.649,3.969,49.078,3.549,7.23,5.6,2.513,17.426,2.034,5.784,3.424,0
10.029,699.25,5.133,9.841,11.42,11.586,244.494,14.264,13.441,15.459,19.257,122.972,4.998,3.131,33.227,4.325,44.174,3.179,6.423,5.059,2.565,16.145,1.917,5.816,3.467,0
6.427,354.734,2.669,6.033,8.68,9.29,117.839,12.925,9.295,11.666,20.816,60.612,2.852,2.187,37.102,5.581,21.928,2.409,5.293,3.839,2.314,8.979,1.58,5.867,3.145,0
3.35,88.262,1.295,3.339,4.88,5.019,26.391,7.474,4.392,5.453,16.122,15.45,2.368,1.992,27.094,6.341,5.371,2.009,5.236,3.463,2.077,2.902,1.456,5.954,2.797,0
3.041,43.792,1.515,2.784,3.958,3.315,14.258,4.93,3.07,3.572,13.6,8.375,2.352,2.01,21.196,6.023,2.911,1.879,5.287,3.603,2.068,1.674,1.48,5.87,2.686,0
5.643,43.871,2.588,3.854,5.885,1.615,16.8,2.099,3.403,3.717,12.13,7.534,2.253,2.619,16.879,4.219,3.126,1.683,5.438,4.031,2.159,1.157,1.577,5.511,2.583,0
10.035,48.965,2.997,6.462,10.183,1.557,17.467,1.583,4.395,5.396,12.671,7.652,2.166,3.282,18.26,3.222,3.295,1.657,5.665,4.117,2.211,1.088,1.64,5.402,2.639,0
26.189,45.609,3.384,16.377,27.083,3.058,13.514,1.293,5.73,10.565,12.365,6.681,2.442,4.899,21.932,2.021,2.852,1.736,6.119,3.709,2.369,0.992,1.768,5.527,3.064,0
41.26,30.698,3.051,25.764,44.279,5.975,7.1,1.371,4.886,15.103,9.451,5.552,3.575,6.374,22.303,2.016,2.055,1.861,5.801,2.84,2.644,0.905,1.786,5.59,3.546,0
42.661,23.406,3.025,26.977,46.748,7.349,4.877,1.617,3.94,15.875,8.084,5.336,4.161,7.043,21.078,2.222,1.812,1.878,5.337,2.467,2.776,0.854,1.754,5.445,3.632,0
31.11,14.101,3.717,20.914,36.301,8.538,3.153,2.295,2.299,13.447,7.378,5.243,4.448,8.016,17.316,2.728,1.647,1.868,4.939,2.492,2.886,0.826,1.78,5.3,3.543,0
15.526,10.994,4.61,13.114,19.001,7.313,3.172,2.611,2.458,9.027,8.782,5.333,3.348,7.563,14.553,3.202,1.708,1.922,6.366,3.528,2.709,0.984,1.997,5.974,3.385,0
12.09,11.437,4.619,11.737,13.671,6.257,3.157,2.704,3.434,7.72,9.619,5.581,2.62,6.709,14.42,3.404,1.804,1.978,7.387,4.233,2.555,1.104,2.104,6.47,3.307,0
12.32,12.938,3.591,11.698,11.114,4.414,2.646,3.303,6.058,7.561,10.544,5.838,1.561,4.6,15.573,3.642,1.96,2.119,8.298,5.497,2.402,1.377,2.208,7.19,3.268,0
12.637,12.606,2.789,10.961,10.795,3.515,1.908,4.193,7.219,7.543,9.546,4.604,1.261,3.068,14.238,3.438,1.781,2.152,6.809,5.847,2.673,1.736,2.278,7.487,3.595,0
9.923,8.52,1.463,7.363,8.541,3.403,1.648,4.357,6.875,6.891,8.523,3.469,1.354,2.672,12.268,3.203,1.614,2.06,5.571,5.607,2.913,1.917,2.334,7.58,3.871,0
5.903,3.722,1.087,5.64,6.051,3.549,1.565,3.748,5.313,4.866,6.912,1.562,1.843,2.552,8.641,2.887,1.464,1.684,3.845,5.035,3.418,2.101,2.449,7.778,4.406,0
4.567,2.425,1.284,6.065,6.12,3.757,1.716,3.206,4.641,4.099,6.636,1.208,2.098,2.762,7.824,2.945,1.555,1.497,3.713,4.995,3.665,2.071,2.483,7.861,4.611,0
3.023,1.395,1.766,6.501,7.056,4.151,1.979,2.407,4.043,3.661,6.443,1.323,2.44,3.385,7.292,3.319,1.841,1.323,4.028,5.273,4.093,1.891,2.487,7.894,4.924,0
2.367,1.1,1.844,5.956,7.771,3.852,1.907,2.398,3.982,3.938,5.156,1.52,2.476,3.672,5.824,3.432,1.938,1.41,3.661,4.993,4.227,1.809,2.382,7.7,5.089,0
1.556,1.124,1.696,4.164,8.312,3.436,1.882,3.04,4.183,4.218,4.056,1.641,2.324,3.608,4.576,3.214,1.906,1.452,3.149,4.354,4.166,1.84,2.319,7.619,5.101,0
1.674,1.931,1.82,3.528,6.687,2.743,2.09,6.482,5.055,5.239,2.128,1.995,1.772,3.297,2.314,2.626,1.777,1.509,2.288,2.971,4.038,1.978,2.336,7.954,5.174,0
1.978,2.47,2.078,3.874,5.767,2.89,2.495,11.358,5.67,6.688,1.499,2.214,1.473,2.889,1.812,2.748,1.698,1.816,2.587,2.917,4.266,2.121,2.721,9.603,5.869,0
3.313,4.159,2.691,5.299,5.369,3.538,2.59,13.038,5.426,7.653,1.586,2.15,1.653,2.642,2.145,3.127,1.663,2.127,3.062,3.335,4.443,2.162,2.994,10.813,6.384,1
5.292,5.534,3.08,6.199,7.372,6.385,2.412,13.499,3.883,10.901,1.965,1.7,2.456,2.195,2.865,3.991,1.467,2.841,3.699,3.981,4.475,2.126,3.388,12.687,6.895,1
6.042,5.967,3.308,6.202,8.756,8.158,2.352,12.6,3.002,12.984,2.13,1.576,2.758,2.128,3.01,4.22,1.324,3.083,3.62,3.926,4.247,2.035,3.414,12.808,6.616,1
6.294,6.778,3.746,5.55,11.553,10.123,2.701,10.069,2.051,15.913,2.213,2.129,2.649,2.237,3.154,3.972,1.239,3.093,2.766,3.239,3.479,1.789,3.066,10.977,5.08,0
5.857,7.025,3.768,5.142,12.929,8.377,3.674,7.514,2.499,15.044,2.001,3.174,2.07,2.054,3.771,3.102,1.615,2.566,1.88,2.721,2.703,1.63,2.35,7.45,3.261,0
5.074,7.793,3.214,4.751,18.183,6.71,4.345,6.3,3.12,13.844,2.067,3.57,1.937,1.856,4.86,2.678,1.89,2.234,1.715,2.779,2.369,1.587,1.947,5.669,2.579,0
5.244,7.118,2.818,4.603,26.486,4.267,5.901,4.741,4.557,12.367,3.246,4.295,2.556,1.785,8.971,2.1,2.303,1.645,1.853,3.28,1.771,1.491,1.251,2.985,1.78,0
5.573,9.977,2.893,4.574,29.04,3.959,7.86,4.746,5.007,12.165,4.347,4.915,3.193,2.144,11.282,1.937,2.464,1.429,2.056,3.49,1.543,1.436,1.037,2.224,1.61,0
5.945,74.973,3.253,4.894,25.833,4.223,26.494,5.903,4.991,10.866,6.39,8.032,4.234,3.537,13.46,1.775,4.283,1.228,2.756,3.431,1.587,1.516,1.057,2.166,1.889,0
5.977,243.483,3.526,5.901,15.515,4.173,69.507,6.435,4.133,7.785,6.6,13.903,3.879,4.553,10.871,1.935,8.995,1.39,3.879,2.973,2.385,2.027,1.583,3.905,2.917,0
6.044,326.867,3.518,6.401,11.356,3.914,89.581,6.121,3.616,6.285,6.09,16.727,3.232,4.658,8.71,2.249,11.26,1.658,4.646,2.906,2.828,2.323,1.854,4.947,3.428,0
6.557,366.471,3.184,6.679,9.883,3.357,96.245,5.025,2.713,5.315,5.399,18.505,2.012,4.758,6.063,3.146,12.047,2.425,6.411,3.354,3.254,2.501,2.077,6.302,3.869,0
7.177,222.869,2.376,5.658,13.25,3.244,56.36,4.691,2.25,7.226,5.7,13.725,1.754,5.38,6.335,3.595,7.666,2.986,7.786,4.116,3.122,2.013,2.033,6.679,3.657,0
7.324,134.133,1.927,4.871,14.046,3.222,32.74,4.897,2.436,8.561,5.76,10.076,1.904,5.68,6.762,3.497,5.11,3.05,8.043,4.377,3.039,1.678,2.084,6.874,3.578,0
6.723,28.88,1.548,3.613,11.393,2.6,5.503,5.146,3.686,9.68,4.913,4.411,2.16,5.432,6.935,3.238,2.486,2.894,7.698,4.726,3.01,1.231,2.426,7.628,3.812,0
5.898,19.349,1.813,3.035,9.438,1.549,4.731,4.316,4.876,7.505,3.332,2.941,2.025,3.999,6.086,3.745,2.729,2.869,7.247,5.388,2.904,1.196,2.684,8.08,4.244,0
4.408,55.93,3.105,3.448,9.841,1.319,10.052,3.638,4.977,5.882,2.605,3.338,1.843,3.158,5.461,4.147,2.96,2.963,7.253,5.799,2.757,1.279,2.638,7.881,4.354,0
3.405,134.916,4.251,6.796,16.712,1.719,29.105,2.465,5.068,3.504,1.523,5.584,1.491,2.211,4.155,4.171,2.972,2.986,7.293,5.902,2.542,1.557,2.32,7.017,4.336,0
3.001,165.507,4.356,10.253,19.64,2.102,38.512,2.268,6.046,3.001,1.275,7.02,1.39,2.35,3.616,3.646,2.767,2.786,7.137,5.377,2.575,1.69,2.168,6.705,4.261,0
2.416,159.624,3.754,19.202,18.683,2.737,43.746,3.2,10.439,2.85,1.598,8.677,1.429,3.695,3.192,2.253,2.273,2.084,6.623,3.654,2.8,1.744,1.984,6.641,4.017,0
2.421,84.185,2.901,24.66,9.902,3.136,29.428,5.676,14.454,2.669,2.885,7.283,2.142,5.212,3.625,1.592,2.063,1.527,6.534,2.483,2.862,1.496,1.855,7.095,3.741,0
2.616,48.072,2.624,24.088,5.767,3.369,20.894,6.888,14.804,2.651,3.618,5.82,2.721,5.421,3.858,1.69,2.105,1.468,6.858,2.515,2.776,1.357,1.775,7.36,3.622,0
2.764,14.64,2.265,17.108,1.838,3.955,11.619,7.469,12.128,3.154,4.392,3.195,3.79,4.666,3.705,2.43,2.353,1.738,8.038,3.624,2.544,1.244,1.654,7.697,3.429,0
2.563,12.528,2.023,12.582,1.536,3.986,9.212,5.352,8.4,3.653,3.991,2.249,3.983,4.091,3.007,3.305,2.467,2.096,9.025,4.9,2.568,1.343,1.783,8.05,3.414,0
1.877,9.893,1.559,6.693,1.673,3.677,7.595,4.104,7.34,3.603,3.65,2.297,3.733,4.441,2.79,3.577,2.346,2.162,9.079,5.184,2.767,1.455,1.973,8.615,3.602,0
1.687,7.025,1.353,6.452,2.086,2.85,4.507,2.995,6.592,3.016,3.361,3.034,3.165,6.376,3.035,3.582,1.833,2.017,7.962,4.934,3.488,1.848,2.492,10.645,4.483,1
1.937,6.566,1.401,7.2,2.382,2.539,3.788,3.157,6.297,2.727,3.479,3.47,3.097,7.633,3.475,3.45,1.588,1.882,7.008,4.705,3.867,2.09,2.722,11.573,5.001,1
2.853,6.427,1.656,7.151,2.834,2.188,3.672,3.491,4.862,2.553,4.137,3.722,3.387,9.548,5.258,3.537,1.491,1.784,5.801,4.874,4.192,2.343,2.869,11.642,5.497,1
3.315,6.439,1.782,5.971,2.95,1.816,3.645,2.662,2.688,2.791,4.797,3.137,3.602,9.517,7.885,4.43,1.921,2.096,6.835,5.797,3.751,1.987,2.6,9.653,5.006,1
3.752,7.22,1.787,2.969,3.175,1.553,3.486,1.98,1.886,2.848,4.941,2.856,3.518,8.792,8.886,5.072,2.186,2.371,7.939,6.248,3.432,1.665,2.446,8.867,4.651,1
3.687,8.174,1.491,1.934,3.591,1.243,2.935,0.875,1.579,2.663,5.026,2.781,3.104,7.338,9.204,6.006,2.396,2.836,9.457,6.503,3.235,1.22,2.452,9.305,4.548,1
3.711,7.772,1.338,2.395,3.716,1.421,2.162,0.622,2.249,2.139,5.234,3.543,2.671,7.319,8.01,5.737,2.094,2.782,8.434,5.784,3.887,1.358,2.938,11.573,5.536,1
4.184,7.16,1.223,3.894,3.578,1.75,1.848,0.815,2.666,1.802,5.333,4.111,2.493,7.764,7.425,5.203,1.935,2.533,7.209,5.238,4.372,1.609,3.228,12.619,6.227,1
5.293,8.651,1.419,5.156,4.179,3.806,2.057,1.806,3.904,1.974,5.494,4.707,2.504,8.501,6.849,4.268,2.061,1.941,5.215,4.483,5.021,2.167,3.529,13.293,7.117,1
6.046,10.009,1.545,5.961,5.162,5.961,2.855,2.439,5.036,3.193,5.896,4.44,2.754,8.43,6.922,4.136,2.355,1.785,5.008,4.425,4.99,2.351,3.476,12.707,7.034,1
7.166,11.504,1.651,7.511,7.238,11.695,5.624,3.21,8.239,7.812,8.549,2.97,3.412,7.315,8.22,4.257,2.967,2.056,6.29,4.727,4.279,2.439,3.072,10.209,5.904,1
6.857,9.59,1.442,7.296,7.117,14.98,8.082,3.029,10.765,11.563,12.756,1.704,3.518,5.555,10.772,4.019,3.045,2.946,8.788,4.879,3.511,2.307,2.647,8.118,4.678,1
6.404,7.941,1.216,6.314,6.159,14.479,8.343,2.781,11.072,11.656,13.967,1.539,3.215,4.601,11.607,3.778,2.85,3.454,10.035,4.835,3.325,2.214,2.517,7.832,4.352,1
6.792,5.571,0.867,3.845,4.072,10.327,6.444,2.564,9.653,8.592,12.358,1.812,2.32,2.995,10.694,3.675,2.286,4.272,11.715,4.915,3.155,1.971,2.355,8.082,4.038,0
7.901,4.819,0.956,3.072,3.496,7.954,4.798,2.674,8.322,6.719,10.001,1.945,2.03,2.586,9.135,3.918,2.036,4.492,11.913,5.122,3.017,1.808,2.285,8.069,3.869,0
10.994,4.4,1.71,3.934,5.13,5.208,2.217,3.207,5.743,5.308,5.319,1.87,2.006,2.596,5.792,4.483,1.815,4.402,10.839,5.633,2.514,1.414,2.139,7.08,3.401,0
12.435,11.304,2.725,7.412,9.516,5.614,3.438,3.995,4.102,6.741,3.557,2.116,2.406,3.313,4.296,4.49,2.126,3.795,8.626,5.827,2.163,1.097,2.115,5.813,3.189,0
12.129,19.641,3.164,9.221,11.438,6.391,7.331,4.32,3.807,7.425,3.654,3.155,2.686,3.946,4.194,4.345,2.419,3.42,7.477,5.722,2.14,1.013,2.151,5.453,3.186,0
10.111,40.926,3.851,10.588,11.779,7.458,22.88,4.286,4.527,7.217,4.247,7.533,3.183,5.744,4.814,4.692,3.042,2.833,6.555,5.949,2.272,1,2.2,5.358,3.16,0
7.904,51.16,4.523,8.203,7.965,6.703,37.611,3.306,5.641,5.861,4.619,11.299,3.357,6.921,6.287,6.217,3.285,2.671,8.043,7.446,2.561,1.198,2.265,6.151,3.323,0
7.039,47.453,4.895,6.435,6.077,5.913,38.884,2.82,5.769,5.632,4.886,11.312,3.502,6.959,7.071,6.896,3.14,2.751,9.016,8.202,2.802,1.371,2.408,7.034,3.654,0
5.246,27.976,4.985,3.7,4.078,4.307,27.22,2.687,4.888,6.157,5.479,7.75,4.279,6.233,7.494,6.708,2.395,3.025,9.525,7.993,3.353,1.781,2.923,9.594,4.675,0
4.424,17.532,4.562,2.971,3.985,3.534,18.165,3.073,4.147,6.309,5.585,5.435,4.73,5.737,6.848,5.815,1.954,3.053,8.801,6.864,3.5,1.944,3.137,10.787,5.067,1
3.364,4.695,3.392,2.428,3.916,2.164,5.134,4.025,2.984,5.364,5.338,2.493,4.917,4.829,4.761,3.776,1.34,2.579,6.582,4.185,3.248,1.981,3.05,11.574,4.933,1
2.67,10.973,3.293,3.022,2.982,1.346,3.616,3.957,2.613,3.449,5.19,4.725,4.471,4.005,3.317,3.065,1.708,1.771,5.435,3.112,2.548,1.732,2.353,9.846,3.695,1
2.329,43.446,3.954,3.701,2.358,1.172,9.371,3.443,2.603,2.668,5.379,13.057,4.401,3.699,2.982,3.273,3.371,1.494,5.444,3.146,2.241,1.929,1.992,8.536,2.992,1
1.724,229.435,5.611,4.72,1.619,1.091,43.144,2.253,2.551,1.909,5.814,54.161,4.648,3.651,2.638,4.312,12.777,1.519,6.157,3.439,1.95,4.199,1.573,6.464,2.105,1
1.613,361.482,6.245,4.742,1.552,1.093,67.521,1.917,2.395,1.856,5.685,80.485,4.633,3.785,2.59,4.908,19.525,1.708,6.505,3.557,1.952,6.059,1.504,5.927,2.01,1
1.964,529.761,6.359,3.536,1.469,1.048,99.865,1.805,1.731,2.024,4.471,108.315,3.751,3.685,2.556,5.451,28.447,1.952,6.344,3.708,2.177,8.684,1.516,5.56,2.373,0
2.712,418.224,5.139,1.892,1.174,0.964,80.654,1.837,1.122,2.043,3.213,79.037,2.537,3.576,2.693,4.443,23.073,1.794,5.086,3.655,2.651,7.341,1.738,5.647,3.107,0
